hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_23,hsv_24,hsv_25,hsv_26,hsv_27,hsv_28,hsv_29,hsv_30,hsv_31,hsv_32,hsv_33,hsv_34,hsv_35,hsv_36,hsv_37,hsv_38,hsv_39,hsv_40,hsv_41,hsv_42,hsv_43,hsv_44,hsv_45,hsv_46,hsv_47,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,label
31.7744,78.064,37.6768,27.0512,99.8048,25.2368,25.4832,83.9072,26.4496,21.9296,117.4144,61.5376,39.1936,64.1136,59.8416,47.3376,80.776,83.0368,51.2416,103.64,73.3824,28.6192,136.7632,68.672,29.8512,81.912,37.9904,27.7424,68.9488,95.6384,28.1088,106.056,66.208,22.2368,137.2656,98.5648,20.3728,66.2288,122.3472,15.2992,75.1936,157.2144,16.16,93.6416,150.1616,16.616,123.7744,140.5536,30.0,110.0,151.0,1282.0,4216.0,2531.0,527.0,306.0,669.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
16.5488,76.072,56.4528,19.4176,125.9744,33.336,20.8016,123.7536,23.5408,18.0864,101.0992,63.0624,18.3392,118.8656,38.9088,19.6416,108.1264,53.352,16.016,125.7296,40.8064,17.8064,105.6352,86.8688,17.1856,105.9808,39.1472,14.1248,66.8784,101.7488,15.5296,122.1936,54.5696,16.8928,121.984,135.3216,16.1424,68.2624,132.2432,16.68,69.3392,174.96,16.4416,92.3104,154.016,17.7024,127.7472,159.408,34.0,182.0,154.0,1230.0,3845.0,2562.0,540.0,398.0,836.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
39.8016,41.76,61.752,65.3808,19.936,29.984,89.072,30.6432,30.36,28.7856,73.8224,29.816,74.9264,38.8912,75.3136,97.576,59.8112,75.16,97.2144,47.1296,70.2528,60.5072,43.096,30.3248,35.7536,48.7184,84.3184,108.6432,37.344,84.9936,103.7008,20.848,79.304,59.2032,21.784,52.3712,6.7584,73.6832,85.1584,39.8624,52.5232,99.0432,17.7392,36.7184,110.9584,15.5568,33.368,64.4944,83.0,276.0,258.0,1330.0,3346.0,2109.0,617.0,519.0,1105.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
38.4064,43.7152,64.6496,75.0224,21.4544,31.1408,90.5488,29.2176,30.7104,30.4736,72.6384,30.176,73.512,39.7504,78.1424,99.0016,57.9648,78.104,100.744,45.84,71.3776,60.4512,42.3616,31.9808,35.608,49.9488,86.1168,106.7152,37.5872,87.5552,112.7376,21.1728,82.6848,65.2672,20.5584,55.4256,5.7952,72.6448,85.4544,39.392,53.536,96.688,19.5632,35.9008,109.5808,15.5328,31.4192,67.6832,92.0,309.0,266.0,1368.0,3174.0,2164.0,665.0,533.0,985.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
44.0592,43.3168,59.8416,104.936,23.2448,31.912,93.232,26.6512,30.6656,33.12,66.9088,31.872,77.7312,36.9456,72.3296,100.9248,53.4272,79.4512,93.6032,39.496,69.8816,68.3856,43.176,37.1008,31.6608,46.424,85.784,111.0144,31.616,82.6144,112.2,21.0944,76.5408,96.592,19.8384,54.232,6.0928,74.7424,83.5376,42.8496,54.9664,99.072,17.2128,35.3104,116.3408,15.4208,27.9824,79.592,57.0,265.0,175.0,1379.0,3205.0,2328.0,660.0,556.0,1009.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
63.5568,36.4336,49.6176,130.488,22.0032,32.1904,98.5424,24.6928,31.744,42.464,66.1376,31.208,84.4208,36.6432,70.2048,101.496,55.5744,76.5632,89.8864,41.56,74.5424,67.7584,36.3936,33.7088,32.6416,43.7616,82.3232,113.5104,27.6224,92.792,102.464,17.2128,89.4048,84.4896,21.3984,61.2672,5.5872,74.3936,83.2784,42.0496,53.3824,96.8112,10.752,36.3136,109.3632,14.7728,29.3664,73.232,44.0,264.0,156.0,1313.0,3334.0,2413.0,593.0,526.0,1019.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
59.0272,41.4336,54.0128,131.136,24.5136,32.1984,96.7776,26.6528,31.04,40.4528,65.2192,32.456,81.4016,36.4976,69.0736,102.4944,53.1824,79.0528,85.472,34.9696,68.6464,66.1024,40.9024,37.3536,33.2464,44.8064,83.496,108.9264,26.4288,85.5744,111.8016,19.1504,81.0384,98.2672,21.4496,57.5456,5.832,74.7056,83.3536,39.216,55.8816,97.72,16.1776,36.136,113.9552,14.1248,28.512,78.6976,75.0,306.0,192.0,1372.0,3157.0,2287.0,691.0,516.0,1009.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
75.4848,30.6624,44.5776,137.0016,28.3808,32.3824,102.6736,25.664,31.04,47.0112,58.2128,33.216,101.7488,31.1104,72.512,106.1312,49.8096,68.4864,89.5424,34.9376,68.92,74.6272,45.8336,39.8672,49.9136,34.6768,70.6224,113.1248,18.3296,79.0064,105.0512,18.2656,70.6256,71.3024,24.128,51.9328,4.7632,78.4288,87.104,63.4304,54.4896,108.8176,30.4976,38.6928,126.92,20.2192,24.9264,93.6208,54.0,278.0,202.0,1335.0,2979.0,2395.0,660.0,547.0,1196.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
38.2512,49.3648,53.1904,73.2352,35.0576,30.7104,37.8784,40.1968,29.0336,29.56,66.216,32.7056,83.88,31.7312,65.7824,113.032,44.5184,72.968,104.6816,33.7968,62.7552,72.1696,47.84,37.5008,40.3936,42.1104,82.7824,97.4528,17.4544,75.1136,103.6064,19.6464,69.3648,67.8368,24.6768,49.2672,5.4768,77.9152,85.544,42.2224,58.3472,101.2096,27.0912,39.9952,119.88,22.8416,24.8928,85.0736,67.0,351.0,217.0,1364.0,3052.0,2280.0,684.0,546.0,1070.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
37.8992,49.8112,51.7744,24.5376,40.872,30.2112,32.4624,43.6,28.9936,25.9248,68.3456,32.3792,87.6928,31.4432,65.9888,116.0992,41.1376,71.0176,103.8432,35.5296,64.512,57.784,46.392,35.7984,40.728,42.6496,82.9696,101.848,17.4608,78.248,99.0976,18.7344,73.4656,59.4544,23.7568,51.2752,5.7952,78.7376,85.0848,44.8544,59.7984,98.3424,24.0736,40.7696,116.496,22.8672,25.8096,81.8208,91.0,361.0,239.0,1327.0,2996.0,2248.0,759.0,527.0,991.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
